Designator,Mid X,Mid Y,Rotation,Layer
C1,137.3,-108.8,0.0,top
C10,137.275,-101.3,0.0,top
C11,134.2,-101.552,180.0,top
C12,134.2,-100.052,180.0,top
C13,134.2,-98.552,0.0,top
C2,134.3,-112.948,0.0,top
C3,149.39,-116.67,0.0,top
C4,152.72,-106.7,270.0,top
C5,147.16,-101.84,0.0,top
C6,132.0,-114.5,180.0,top
C7,137.3,-105.8,180.0,top
C8,137.3,-104.3,180.0,top
C9,137.275,-102.8,180.0,top
D1,141.91,-108.2625,0.0,top
D2,143.59,-104.4825,270.0,top
D3,141.18,-103.0025,270.0,top
J2,128.473146,-105.108332,270.0,top
J3,145.42,-97.45,90.0,top
J4,145.42,-112.69,90.0,top
J7,127.762,-92.6,270.0,top
J8,127.508,-117.094,270.0,top
J9,133.858,-118.618,0.0,top
L1,147.99,-106.25,270.0,top
Q1,134.112,-106.68,0.0,top
R1,134.4,-93.6,270.0,top
R2,134.4,-96.4,90.0,top
R3,134.3,-109.9,0.0,top
R4,134.3,-111.4,0.0,top
